2026-05-17 12:19:11 WARN  [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12h55m608ms769µs300ns).
2026-05-17 14:42:43 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2026-05-17 14:42:43 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2026-05-17 14:42:50 INFO  [com.example.wyk.WykMusicApplication] - Starting WykMusicApplication using Java 17.0.17 on 还有机会吗 with PID 37508 (C:\Users\33413\Desktop\music-website-master\music-server\target\classes started by 33413 in C:\Users\33413\Desktop\music-website-master\music-server)
2026-05-17 14:42:50 INFO  [com.example.wyk.WykMusicApplication] - The following profiles are active: dev
2026-05-17 14:42:50 INFO  [o.s.b.d.restart.ChangeableUrls] - The Class-Path manifest attribute in D:\develop\apache-maven-3.9.9\myrepository\com\sun\xml\bind\jaxb-impl\2.3.1\jaxb-impl-2.3.1.jar referenced one or more files that do not exist: file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/jaxb-runtime-2.3.1.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/txw2-2.3.1.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/istack-commons-runtime-3.0.7.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/stax-ex-1.8.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/FastInfoset-1.2.15.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/javax.activation-api-1.2.0.jar
2026-05-17 14:42:50 INFO  [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-17 14:42:50 INFO  [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-05-17 14:42:51 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-05-17 14:42:51 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:42:51 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 24 ms. Found 0 Redis repository interfaces.
